,price (CLP),rooms,size (m2),address
1215,390000,3.0,58.0,"Avda. Republica Con Andres Bello, ..."
1216,750000,3.0,90.0,"10 Norte 770, Viña Del Mar, Chile,..."
1217,430000,3.0,70.0,"Condominio Jardín Suizo, Valparaíso"
1220,480000,2.0,50.0,"Leonidas Valenzuela 1288, Valparaí..."
1221,195000,1.0,40.0,Valparaíso
1222,440000,1.0,35.0,"Playa Ancha, Valparaíso"
1223,230000,2.0,45.0,"Pablo Neruda 1637, 2431458 Quilpué..."
1224,750000,1.0,40.0,"Subida Artillería, Cerro Artilleri..."
1225,450000,3.0,62.0,"Av. Lomas De La Luz 3600 - 3900, V..."
1226,500000,2.0,40.0,(fer11489) Oportunidad De Arriendo...
1228,395000,2.0,90.0,"Condell 1176, Valparaíso, Chile, C..."
1229,450000,2.0,63.0,Avenida José Manuel Balmaceda 600 ...
1230,420000,3.0,60.0,Departamento En Arriendo En Gomez ...
1231,800000,3.0,77.0,"Avenida Borgoño 16350, Viña Del Ma..."
1232,450000,2.0,54.0,"Litorina 266, Viña Del Mar, Chile,..."
1233,580000,2.0,60.0,"Vicuña Mackenna 300 - 600, Viña De..."
1234,230000,2.0,48.0,"Pablo Neruda 1721-1701, Quilpué, V..."
1235,670000,2.0,68.0,"Edificio Paseo Andino, Los Andes, ..."
1236,650000,2.0,80.0,"Centro De Viña Del Mar, Viña Del M..."
1238,700000,3.0,78.0,"Maroto, Concón, Chile, La Boca, Co..."
1239,950000,3.0,85.0,"Avenida Jardines De Reñaca 50, Viñ..."
1240,2693,3.0,73.0,Viña Del Mar
1241,490000,3.0,68.0,"Canal Kirke 450, Viña Del Mar, Chi..."
1243,205000,1.0,52.0,"Avenida Cardenal Samore/curauma, C..."
1246,290000,1.0,40.0,"Marisol 1772, Quilpué, Chile, Pres..."
1249,205000,1.0,52.0,"Avenida Cardenal Samore/curauma, C..."
1252,290000,1.0,40.0,"Marisol 1772, Quilpué, Chile, Pres..."
1254,530000,2.0,60.0,"Los Pinos 678, Valparaíso"
1256,550000,3.0,80.0,"Blanca 655, Cerro Placeres, Valpar..."
1258,800000,2.0,80.0,"Arenales 535, Concón, Chile, Costa..."
1259,950000,3.0,87.0,"Edificio Medano - Los Prunos 400, ..."
1260,420000,3.0,49.0,"Avenida San Juan 1610, Llolleo, Sa..."
1261,750000,2.0,70.0,"Papudo, Punta Puyai"
1262,430000,1.0,50.0,"Higuerillas, Concón"
1265,430000,2.0,50.0,"Isla Melinka, Viña Del Mar, Chile,..."
1267,600000,2.0,62.0,"Entrelomas 1 - 300, Concón, Chile,..."
1268,390000,2.0,48.0,"Eduardo Titus, Viña Del Mar, Chile..."
1269,490000,3.0,77.0,"Villanelo, Viña Del Mar"
1270,400000,2.0,60.0,"Avenida Lomas De La Luz 860, Valpa..."
1271,310000,3.0,56.0,"Lago Huilipilún 1105, Viña Del Mar..."
1272,420000,1.0,32.0,"Camino Internacional 2030, Viña De..."
1273,500000,1.0,50.0,"Avenida Borgoño 24930, Concón, Chi..."
1274,350000,2.0,56.0,"Porvenir,villa Alemana, Huanhuali,..."
1275,410000,2.0,50.0,"Valparaiso, Cerro Placeres, Valpar..."
1276,300000,1.0,40.0,"Los Pinos, Valparaíso"
1278,420000,2.0,53.0,"Av. Lomas De La Luz 3995, Placilla..."
1279,380000,2.0,55.0,"Altamirano 2769, Valparaíso, Chile..."
1280,700000,3.0,95.0,"Marzo-diciembre, Amoblado, Sin Gas..."
1281,360000,1.0,25.0,"Jardín Del Mar, Reñaca, Viña Del M..."
1283,750000,2.0,67.0,"Quillota 376, Viña Del Mar, Valpar..."
1285,650000,2.0,70.0,"5 Poniente 1 - 300, Viña Del Mar, ..."
1286,450000,3.0,80.0,Viña Del Mar
1287,390000,1.0,37.0,"Rodimenia 300 - 600, Viña Del Mar,..."
1289,370000,3.0,50.0,"Los Tulipanes , 920, Reñaca Alto, ..."
1290,650000,1.0,60.0,"Av. Benidorm 585, Viña Del Mar, Ch..."
1292,600000,2.0,60.0,"Leonidas Valenzuela 1288, Cerro Pl..."
1293,550000,2.0,76.0,"Se Arrienda  2d 2b Reñaca Norte, R..."
