,price (CLP),rooms,size (m2),address
720,380000,3.0,51.0,"Avenida Gómez Carreño 3707, Viña D..."
721,500000,1.0,36.0,"3 Norte 487, Viña Del Mar, Chile, ..."
722,450000,1.0,40.0,"7 Norte 1200 - 1500, Viña Del Mar,..."
723,450000,2.0,60.0,"Avenida Libertad 22, Valparaíso, V..."
724,1200000,3.0,85.0,"Bellavista 836, Viña Del Mar, Valp..."
726,480000,2.0,56.0,"Reñaca, Viña Del Mar"
727,450000,3.0,74.0,"Costa Algarrobo Norte, Mirasol, Al..."
729,450000,2.0,53.0,"Padre Rene Pienovi 1055, Viña Del ..."
730,349000,2.0,55.0,"San Guillermo 941, Valparaíso, Chi..."
731,500000,3.0,80.0,"Yungay, Almendral, Valparaíso"
732,370000,1.0,40.0,"Ecuador 130, Viña Del Mar, Chile, ..."
733,550000,2.0,65.0,"(mgg11309) Euromarina I, Reñaca, V..."
735,650000,3.0,80.0,"Centro De Viña Del Mar, Viña Del M..."
736,600000,3.0,92.0,"Viña Del Mar, Chile, Libertad, Viñ..."
737,550000,3.0,70.0,"El Encanto, Reñaca, Viña Del Mar"
738,490000,2.0,80.0,"(nmd/6622) Petalonia, Jardin Del M..."
739,550000,2.0,80.0,"Av. Costa De Montemar 112, 2520000..."
740,600000,2.0,63.0,"Reñaca, Viña Del Mar"
743,370000,3.0,50.0,Arriendo Departamento En Mirador D...
744,400000,2.0,64.0,"Avenida Valparaíso, Viña Del Mar, ..."
745,870000,3.0,80.0,"Condominio Costareñaca, Reñaca, Vi..."
746,390000,1.0,30.0,"Guayacán 61, Viña Del Mar, Chile, ..."
747,440000,2.0,55.0,Avenida Santa Teresa De Los Andes ...
748,330000,1.0,27.0,"Viana 811, Viña Del Mar, Chile, Ce..."
750,570000,2.0,60.0,Frente Al Mar Oportunidad Año Corr...
751,550000,3.0,70.0,"Calle Limache 1210, Viña Del Mar, ..."
752,700000,3.0,88.0,"Av. Francisco Soza Cousiño 685, 25..."
753,760000,3.0,88.0,"2 Poniente 600 - 900, Viña Del Mar..."
754,590000,2.0,50.0,"Arlegui 1320, Viña Del Mar, Chile,..."
755,650000,3.0,76.0,"Centro De Viña Del Mar, Viña Del M..."
757,430000,3.0,64.0,"(nmd11380) Gregorio Marañón, Viña ..."
758,450000,2.0,60.0,"Avenida Valparaíso 230, Viña Del M..."
759,490000,2.0,78.0,"Cantábrico 5050, Viña Del Mar, Chi..."
761,340000,1.0,43.0,"Quillota 249, Viña Del Mar, Chile,..."
762,550000,3.0,80.0,"Diego Portales 1200, Viña Del Mar,..."
763,450000,3.0,70.0,"Río Aconcagua 140, Concón, Chile, ..."
764,350000,1.0,30.0,"Calle 4, 527, Playa Amarilla, Conc..."
766,520000,3.0,75.0,"Agua Santa 1400, 2581777 Valparaís..."
768,550000,3.0,80.0,"Diego Portales 1200, Viña Del Mar,..."
769,450000,3.0,70.0,"Río Aconcagua 140, Concón, Chile, ..."
770,350000,1.0,30.0,"Calle 4, 527, Playa Amarilla, Conc..."
772,520000,3.0,75.0,"Agua Santa 1400, 2581777 Valparaís..."
775,500000,3.0,70.0,"2 Ote. 67, Viña Del Mar, Valparaís..."
776,550000,2.0,73.0,"Entrelomas 50, Concón, Chile, Cost..."
777,500000,1.0,52.0,"Avenida Coraceros 1 - 300, Viña De..."
778,400000,1.0,40.0,"Av. Coraceros 50, Viña Del Mar, Ch..."
779,460000,1.0,42.0,"Viana 600 - 900, Viña Del Mar, Chi..."
780,550000,2.0,65.0,"8 Norte 380, Viña Del Mar, Chile, ..."
781,650000,2.0,60.0,"Calle Arenales 156, Concón, Chile,..."
782,410000,1.0,38.0,"Arlegui 160, Viña Del Mar, Chile, ..."
783,440000,2.0,48.0,Arriendo Depto Nuevo $440.000 2d2b...
784,350000,1.0,32.0,"Alvarez  1136, Forestal, Viña Del ..."
785,420000,1.0,45.0,"Av. José Manuel Balmaceda 805, Viñ..."
786,450000,1.0,29.0,"Reñaca Norte 265, Concón, Viña Del..."
787,840000,3.0,93.0,Edificio Bosquemar. San Fernando E...
788,630000,3.0,91.0,"Jardín Del Mar, Reñaca, Viña Del M..."
789,600000,3.0,80.0,"Jardín Del Mar 290, 2540218 Viña D..."
790,490000,3.0,72.0,"Ruta G98-f 424,, Mirasol, Algarrobo"
791,570000,2.0,58.0,"Reñaca, Viña Del Mar"
792,375000,1.0,48.0,"Serrano 900 - 1200, Quilpué, Chile..."
793,470000,2.0,60.0,"Aníbal Pinto 1 - 300, Viña Del Mar..."
794,520000,2.0,50.0,"Arlegui  1320, Centro De Viña Del ..."
796,550000,2.0,70.0,"2 Oriente 340, Viña Del Mar, Chile..."
797,450000,1.0,45.0,"Avenida Bosques De Montemar, Concó..."
798,600000,2.0,49.0,"Viña Del Mar, Chile, Libertad, Viñ..."
799,350000,3.0,70.0,"Incas 1567, Quilpué, Chile, Bellot..."
